mal_id,title,type,episodes,my_id,watched_episodes,start_date,finish_date,score,status,tags,comments
934,Higurashi no Naku Koro ni,TV,26,0,7,0000-00-00,0000-00-00,8,On-Hold,,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
41006,Higurashi no Naku Koro ni Gou,TV,24,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
22835,Himegoto,TV_SHORT,13,0,5,0000-00-00,0000-00-00,4,Dropped,,
10408,Hotarubi no Mori e,MOVIE,1,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
11061,HUNTER×HUNTER (2011),TV,148,0,148,0000-00-00,0000-00-00,10,Completed,,
46569,Jigokuraku,TV,13,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
10357,Jinrui wa Suitai Shimashita,TV,12,0,3,0000-00-00,0000-00-00,7,Dropped,,
14719,JoJo no Kimyou na Bouken (TV),TV,26,0,26,0000-00-00,0000-00-00,5,Completed,,
20899,JoJo no Kimyou na Bouken: Stardust Crusaders,TV,24,0,1,0000-00-00,0000-00-00,6,Dropped,,
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,0,1,0000-00-00,0000-00-00,7,Dropped,,
37991,JoJo no Kimyou na Bouken: Ougon no Kaze,TV,39,0,4,0000-00-00,0000-00-00,8,On-Hold,,
40748,Jujutsu Kaisen,TV,24,0,24,0000-00-00,0000-00-00,7,Completed,,
48561,Jujutsu Kaisen 0,MOVIE,1,0,1,0000-00-00,0000-00-00,7,Completed,,
51009,Jujutsu Kaisen 2nd Season,TV,23,0,23,0000-00-00,0000-00-00,7,Completed,,
5680,K-ON!,TV,13,0,6,0000-00-00,2024-06-05,7,Watching,,
37999,Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,TV,12,0,12,0000-00-00,0000-00-00,6,Completed,,
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
40591,Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen,TV,12,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
39198,Kanata no Astra,TV,12,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
2593,Kara no Kyoukai: Fukan Fuukei,MOVIE,1,0,1,0000-00-00,0000-00-00,8,Completed,,
3782,Kara no Kyoukai: Satsujin Kousatsu (Zen),MOVIE,1,0,1,0000-00-00,0000-00-00,7,Completed,,
3783,Kara no Kyoukai: Tsuukaku Zanryuu,MOVIE,1,0,1,0000-00-00,0000-00-00,9,Completed,,
4280,Kara no Kyoukai: Garan no Dou,MOVIE,1,0,1,0000-00-00,0000-00-00,9,Completed,,
4282,Kara no Kyoukai: Mujun Rasen,MOVIE,1,0,1,2024-08-31,2024-08-31,10,Completed,,
5204,Kara no Kyoukai: Boukyaku Rokuon,MOVIE,1,0,1,2024-09-01,2024-09-01,6,Completed,,
5205,Kara no Kyoukai: Satsujin Kousatsu (Kou),MOVIE,1,0,1,2024-09-02,2024-09-02,9,Completed,,
6954,Kara no Kyoukai: Shuushou,OVA,1,0,1,2024-09-03,2024-09-03,8,Completed,,
572,Kaze no Tani no Nausicaä,MOVIE,1,0,1,0000-00-00,0000-00-00,10,Completed,,
33,Kenpuu Denki Berserk,TV,25,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
1457,KEY THE METAL IDOL,OVA,15,0,1,2024-08-28,0000-00-00,3,Dropped,,
1090,Kidou Senshi Gundam I,MOVIE,1,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
49828,Kidou Senshi Gundam: Suisei no Majo,TV,12,0,9,0000-00-00,0000-00-00,7,On-Hold,,
52168,Kidou Senshi Gundam: Suisei no Majo - PROLOGUE,SPECIAL,1,0,1,0000-00-00,0000-00-00,6,Completed,,
31251,Kidou Senshi Gundam: Tekketsu no Orphans,TV,25,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
18679,Kill la Kill,TV,24,0,5,0000-00-00,0000-00-00,8,Dropped,,
40456,Kimetsu no Yaiba: Mugen Ressha-hen,MOVIE,1,0,1,0000-00-00,0000-00-00,6,Completed,,
54714,Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo,TV,12,0,2,0000-00-00,0000-00-00,3,Dropped,,
32281,Kimi no Na wa.,MOVIE,1,0,1,0000-00-00,0000-00-00,7,Completed,,
36699,Kimitachi wa Dou Ikiru ka,MOVIE,1,0,1,0000-00-00,0000-00-00,7,Completed,,
486,Kino no Tabi: the Beautiful World,TV,13,0,13,0000-00-00,0000-00-00,10,Completed,,
35079,Kino no Tabi -the Beautiful World- the Animated Series,TV,12,0,12,0000-00-00,0000-00-00,7,Completed,,
9260,Kizumonogatari I: Tekketsu-hen,MOVIE,1,0,1,0000-00-00,0000-00-00,6,Completed,,
